miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50
hsa-let-7a-2-3p	6.202293	6.551197	6.67875	5.391485	5.369854	1.025934	8.801151	12.578738	7.705145	19.153395	6.894812	3.757056	4.287492	50.105045	22.599979	15.839935	13.921045	7.214926	5.613966	8.360733	10.733896	13.134517	10.052139	3.475433	33.301285	5.803283	4.428843	12.903503	10.871609	9.446673	10.238952	3.161243	4.62501	0.909391	5.114613	2.146564	4.976788	7.086619	13.445156	6.448271	17.255136	15.152836	8.843585	14.246121	6.977539	3.515032	9.926266	3.177476	9.209597	4.735887	18.064547	16.922208	14.235761	6.890902	11.505366	14.268209	19.881106	9.410134	32.024941	33.664501	14.283688	4.461231	15.357169	9.096601	5.539397	29.404987	4.666686	7.108774	13.716923	8.679703	7.388063	17.831774	12.092288	7.661183	20.062341	20.364446	15.281726	5.066313	9.561988	20.443365	2.15744	11.341197	5.92846	14.25874	18.16564	9.855596	7.657395	7.599175	5.235988	8.504722	8.414736	4.818392	30.67847	17.359124	5.393459	5.470163	19.745536	7.285725	9.166007	19.69946
hsa-let-7b-3p	40.862163	446.385004	100.827563	54.723574	67.835498	61.427741	82.810831	54.061808	31.783724	39.555924	52.771833	94.677806	75.745667	72.244485	76.455247	64.491164	49.158692	41.846571	44.911727	32.866333	80.649278	100.529573	34.116355	118.550854	35.449755	19.223375	43.796326	49.123862	59.084838	96.23798	54.607741	18.967459	50.566779	28.191121	65.46705	69.456658	97.545051	124.724507	75.78179	43.704947	99.38958	57.905478	12.552184	28.983486	31.193704	65.906835	83.086523	34.316741	25.088214	124.080232	121.164644	56.712263	54.128999	68.717603	83.711457	152.384474	178.929946	108.054295	56.602221	89.772003	109.619002	48.515888	45.218332	100.062615	79.398022	159.321567	96.963338	38.861298	56.637619	45.194317	135.671722	41.607474	145.76702	74.422922	76.905639	74.435562	49.440884	31.073385	56.893834	75.291422	44.766862	65.325291	107.370987	109.317001	67.212868	92.806854	55.242634	73.854488	82.122348	56.22567	43.221146	25.162715	90.729945	65.524582	39.776764	44.308322	67.134823	74.538575	45.83003	80.029057
hsa-let-7b-5p	40131.02161	64053.08548	43614.59915	36940.03024	44695.81204	57525.09048	75264.64461	36194.11294	26497.51304	14317.57911	37986.70415	29340.10071	13202.61251	24042.26536	37832.36394	26462.30888	23034.97924	25747.76215	15400.23085	36005.06833	37937.65288	71551.29256	28628.79975	26201.28313	21096.90137	9822.782238	35337.72871	29830.86224	33561.13295	66054.08929	16204.84729	9878.884874	31439.89521	10197.00137	5009.763795	28596.82373	29179.90492	27797.02976	13115.13881	22960.14324	19097.98432	20448.75122	6271.242434	11902.8788	22794.80001	6279.603157	19675.33021	16765.63445	17551.90481	55113.40791	28440.64629	13754.09563	28607.25918	37768.45805	122585.3113	51420.91388	44765.72047	18066.48357	57375.28799	53478.46474	67289.12543	55306.99683	37135.34188	35581.73523	37868.42529	42839.3242	39868.00542	34397.69846	38310.48212	30057.81281	49786.82077	38582.01725	59661.58307	44746.78148	43158.10662	34200.68319	33964.08914	28125.46758	31893.05871	28885.23069	28171.84003	29992.02034	44388.35097	25732.27113	22648.61689	34144.29823	43497.28545	41183.02069	37877.14276	23547.2161	20652.82289	20754.42101	24840.423	32713.88153	22079.13823	17409.34162	33179.55321	27283.64058	33965.1427	39335.51259
hsa-let-7c-5p	1199.961181	1524.169852	1166.84204	594.546028	4366.677276	2929.551744	3268.027458	3984.783474	2604.579892	5391.68068	3235.788531	2122.736498	3214.665125	2878.127052	11598.59746	4402.936272	1224.181901	2662.307697	884.761002	4502.111085	3098.614919	8300.50967	3083.265529	2737.675151	1989.483238	1656.474649	1658.35521	6296.004104	1164.207636	1680.917366	971.84715	2321.933101	796.118444	1090.359819	2229.459965	2223.686316	2739.22426	4957.326738	2152.447291	4602.990708	4090.157389	2642.005068	1056.665695	1757.185206	4281.336024	739.914058	5275.626674	1010.437373	4479.833992	496.320928	8422.04421	3025.41624	6540.173647	10951.74838	15573.90155	12967.51928	10830.45453	5188.22863	11240.38181	8873.802203	12177.01011	9640.441507	5969.246414	8911.258102	8492.264783	10208.34235	9392.480625	9184.062034	9958.486393	9902.643657	8942.244142	9795.318237	12451.53742	8456.85167	8322.527536	8802.005267	9590.932122	7015.830203	7226.47332	10376.25518	7864.404954	6725.783033	1485.408418	6463.282729	7618.063795	9926.226767	9597.724221	11885.58586	8245.304417	6964.659568	6372.250341	7058.409085	6107.626602	6670.549241	6752.948534	3765.660393	6615.318869	5631.305304	9745.500767	10082.42993
hsa-let-7d-3p	240.794886	325.526715	424.8546	641.72152	239.561225	332.658782	233.230507	207.415354	181.793272	314.781881	297.272492	281.278238	142.439965	873.342601	290.433767	235.33618	527.694613	278.784741	737.113706	133.771742	274.439632	377.364782	381.676716	384.807574	418.951654	407.680645	534.905671	245.845694	260.918642	591.007473	500.85538	352.478614	245.125546	208.25054	225.554449	135.540144	164.731692	239.527746	271.347697	135.41369	435.519627	389.644335	493.814341	317.835849	207.684404	1761.909364	181.981545	85.156356	104.481292	440.911053	548.985985	532.82085	376.585549	359.188252	2670.831877	382.388005	375.367133	420.535637	501.599944	997.110463	382.669969	174.266838	401.419343	303.59907	286.571467	733.520776	210.000809	265.868144	243.80725	225.672287	218.955354	377.169059	284.498527	456.387621	464.108808	355.675587	272.074682	249.938105	382.001467	239.835595	204.417357	241.340657	262.169645	374.122154	291.861279	244.747278	217.688799	170.743979	188.220018	162.534709	216.870704	199.160208	351.170578	314.664692	203.94019	255.456624	319.595611	289.747694	242.899147	469.093393
hsa-let-7d-5p	346.963541	211.445529	134.436752	327.802297	215.999623	204.160675	128.416796	170.214407	138.933403	295.628484	145.586616	197.37066	161.495478	417.153638	173.106219	200.82775	207.510578	187.010881	274.522927	137.807959	220.770148	269.257603	200.433584	447.751512	220.218176	254.619051	486.188415	179.290784	147.003076	206.645969	174.062177	194.416456	270.100603	279.183039	108.941265	144.893029	203.550641	324.567184	150.341291	112.128266	410.672231	158.563597	214.813517	146.391167	110.819739	1606.369239	232.348156	72.446453	84.950595	103.715918	287.710953	125.315805	100.312456	160.692	99.184191	240.847369	324.329073	250.504251	166.455215	108.207326	227.542476	127.70274	141.627228	180.415927	189.816666	228.289628	161.259881	129.379686	157.965858	168.505965	171.268757	154.812228	259.874233	140.090205	209.317085	133.071123	131.243074	74.305923	134.345945	161.552457	84.140127	120.216682	202.226334	135.797515	244.327854	119.08844	113.76701	110.900469	119.325427	145.525262	90.267171	94.761712	161.877887	139.850977	91.688813	54.701632	154.86142	92.472667	88.095498	120.043585
hsa-let-7e-3p	13.134266	20.557203	21.544352	25.474766	12.602718	25.776569	14.401884	11.508208	14.687934	27.897336	11.137774	12.273048	34.776313	15.148037	23.56168	22.628479	19.57647	14.718449	6.73676	12.973552	19.14695	17.681081	10.96597	20.659516	30.07858	103.008275	17.715367	19.694821	22.215899	12.989175	34.129839	22.128702	9.866688	10.003301	23.01576	24.225501	20.404832	22.677183	40.335466	18.628338	27.608216	20.564563	3.423323	13.754875	7.387982	45.695404	24.999483	9.532428	9.368383	6.630241	35.247896	33.844415	27.312796	28.520677	58.320305	29.677875	42.432807	25.634502	16.01247	6.412285	21.9238	12.82604	10.238113	30.70103	18.83395	47.582616	22.814903	18.245853	17.699255	20.651708	25.522404	18.64231	19.1278	19.700186	25.412298	24.928891	17.678862	12.496905	18.167778	28.919884	12.944635	21.32145	12.515637	29.196465	42.689254	37.369132	22.698706	15.198351	18.18817	18.426901	17.211961	17.132061	35.247604	16.136651	12.809467	18.051539	19.745536	26.901139	17.822789	31.396014
hsa-let-7e-5p	1283.874551	1577.257135	980.91429	748.877291	1135.778831	3119.605839	1442.988741	1033.865173	933.285722	853.15883	1011.946324	1147.404826	3392.834176	1042.301477	1348.305101	971.893167	1982.443824	1476.751054	600.694337	881.62498	1084.413684	2597.09818	918.095468	2339.35201	1494.2609	4090.226547	2179.482258	1294.198743	1562.675777	1659.071934	2019.63319	1417.027247	1152.244239	1013.061582	1549.216389	2267.690865	1446.752347	1837.324282	1951.381092	2324.959895	1321.743404	1108.321667	157.758135	944.665124	784.357506	1439.405259	2132.30904	437.856194	392.836964	454.645125	1970.3574	836.963223	813.590319	1072.683701	1607.180619	1628.858764	2028.762917	1543.261954	891.85736	949.819855	1243.677394	1738.485982	824.594676	1918.245811	1449.106237	2066.903296	1259.486335	1083.140192	947.79516	846.12143	1507.836721	923.739981	1362.251049	868.997052	1173.646912	1147.782329	1042.753181	906.194513	775.955419	897.264354	748.092016	860.569974	1326.65745	680.345553	2339.128882	1395.387992	1408.960683	1707.439806	1770.039782	763.535148	580.234319	765.588971	476.495395	690.697563	653.619886	390.022639	486.304355	506.918357	952.24613	683.325023
hsa-let-7f-1-3p	2.918726	7.906617	3.01621	3.369678	2.739721	2.436591	0.800105	1.605796	2.167072	3.747403	3.447405	3.005644	3.811103	6.991402	3.365954	1.697136	4.350327	4.328955	7.859552	0.288301	3.191159	3.536217	0.913831	7.143945	2.14847	2.176231	1.968375	2.263773	3.308751	4.132919	1.706492	1.580622	1.54167	1.818782	4.091691	1.686586	2.488394	7.08662	3.055717	1.074712	6.211848	1.623518	4.279154	0.982492	1.231329	14.938883	1.102918	1.27099	1.746647	1.894355	3.084191	1.829428	0.827661	1.818432	1.19021	1.712185	3.857528	2.271411	1.861915	0.801536	1.660894	2.230616	1.706352	2.27415	1.477172	4.277089	1.555562	2.132632	3.539851	2.693701	3.358211	2.971963	3.297897	3.283364	2.006234	2.106667	1.198567	3.039787	1.912396	1.745166	2.157439	1.814592	1.317435	1.357975	3.633128	1.642599	0.546957	1.424845	1.65347	3.779877	0.764976	2.141508	2.610933	1.711463	1.348365	0.547016	0.846237	0.56044	1.527668	0
hsa-let-7f-2-3p	2.189045	0.451806	1.938992	1.347872	0.438356	0.641208	0.400052	0	0.240786	2.08189	0.53037	0	0.476388	1.747851	0	0	0	0.865791	0	0.288301	1.450526	0	0.60922	1.351557	3.222705	0.362705	0	0.226377	0	1.180834	0.853246	0.790311	0	0	0	0.613304	0	0.472441	0.611143	0	2.070616	0.541173	1.141108	0.491246	0.410443	0	0	0.635495	0.317572	0.473589	0	0.457357	1.324257	0.765656	0	0.570728	0.593466	0	1.117149	0	0	0.278827	0	0	1.107879	0	0	0.473918	0	0.2993	0	0.270178	0.43972	0	0	0.702222	0	0.337754	0	0	0	0.453648	0.658718	0.678988	0.302761	0	1.093913	0.474948	0.551156	0.472485	0.764976	0	0	0.244495	0.674182	0	1.410395	0.840661	0	0
