miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43
hsa-let-7a-2-3p	0.612631	1.8737	0.820352	1.363718	2.188122	2.08477	0.323272	2.107564	8.010344	3.297689	7.186675	5.595116	1.761313	2.967877	2.245296	1.138657	3.366114	1.411963	4.563488	1.69067	3.225317	3.150918	0.429288	1.01423	0.458745	1.752613	6.6597	1.254457	5.167257	7.832682	2.418273	10.788086	11.421113	0.414594	1.65011	0.558786	4.32311	13.53661	1.751624	1.525928	9.575208	1.770408	9.171168	0.725832	2.380358	3.686148	4.53388	2.625486	0.890811	2.40009	0.406001	4.444767	2.056813	2.716808	5.121912	4.070661	3.220388	1.697032	1.603251	3.503118	3.489883	2.378113	0.982529	1.98791	2.727694	4.506034	2.061861	2.449521	2.899467	2.660794	1.614332	5.630635	5.269039	3.567876	21.126176	2.96504	0.553225	1.77526	0	1.418022	23.789815	1.42656	7.920991	6.51419	4.575885	4.031596
hsa-let-7b-3p	17.766299	19.361568	24.4055	29.660853	48.868049	40.027577	34.266907	42.151281	46.605636	27.618139	52.89393	14.581209	14.971161	41.253488	39.853989	36.057488	33.009643	20.049876	55.902729	23.387611	38.606058	50.414678	36.489473	41.786295	21.216959	35.578045	27.171575	38.470046	11.924439	19.973341	18.943132	13.277645	23.399352	39.800995	146.388344	29.895042	53.911728	39.965229	22.232145	19.282176	20.00973	14.163263	33.788512	35.420578	35.044186	26.076082	33.550708	40.382481	39.789585	27.067666	26.660733	43.336476	29.181028	47.464234	29.024166	28.203865	25.247844	22.832789	45.291841	27.069551	28.966035	45.342682	23.384191	37.521806	35.971451	27.855484	36.76985	29.720855	37.886374	53.748034	33.362869	8.070576	10.538076	11.195748	44.459565	13.177957	23.926972	44.254706	38.265175	32.141863	35.216417	17.475356	17.753942	26.871032	15.329215	10.558943
hsa-let-7b-5p	7493.089524	16279.83087	18709.37971	21088.86699	11529.94189	25894.5069	27967.77682	18937.96837	25149.20175	21655.09316	23290.00247	8625.802434	5944.431455	25461.41582	22853.1751	22056.93554	27398.87267	23774.21128	67544.94798	29826.38925	25603.43956	19720.54164	23420.87516	26999.22067	15940.47324	23798.3822	26136.92396	38732.64614	11233.88131	20879.19124	16679.22489	11930.29371	17263.9862	16854.06302	60246.7009	36632.60029	20707.95254	25233.853	10423.23806	11145.09768	8507.695213	9604.715962	12756.61169	27113.72662	19404.29644	21252.27995	20401.70172	17735.53551	10815.34405	23685.40812	20658.27923	22959.44234	17293.03678	42200.97891	23039.38341	22332.80851	14563.23999	26065.47734	23739.93985	19468.4209	23175.27068	26448.73431	28602.99302	25228.94203	26380.37029	21874.74781	18627.19258	22337.99929	28310.20589	23543.23537	26551.82187	9248.316887	13368.80484	11523.50154	22449.87342	9821.861998	15363.74391	19158.86387	18996.18294	23745.74652	17463.22272	10289.06202	9043.857426	18432.30729	11793.42898	7723.770386
hsa-let-7c-5p	1246.091415	2288.787153	600.088185	1504.350771	1008.724042	7675.287955	2734.563852	1777.579735	1210.290088	2262.420127	1965.1245	1392.166365	191.983119	4145.530438	939.936671	4126.494985	2075.915661	2549.158201	3190.068329	3348.795925	2094.989474	1484.257144	4947.543167	2344.495141	1694.604241	2437.884764	836.458288	2254.539848	2616.089381	571.590037	624.317216	1237.310311	2022.929694	542.70315	961.071308	1694.517949	1254.719184	1683.696473	460.676994	1845.540061	1089.486826	434.761605	841.33397	13158.59956	7303.737349	6914.940095	5217.73956	6022.865734	3126.15496	7581.34667	4136.203056	5969.321665	6311.457722	10720.20504	5001.888278	11233.13401	4520.652292	7544.538977	6005.377704	5336.841548	9338.928779	5606.479757	7197.811398	6447.041508	6891.516077	5672.687408	10571.93265	7669.287216	7113.359896	11054.26769	8744.121143	3646.492638	2888.436646	3569.106373	6750.917016	1724.171157	5853.948102	5769.469502	6498.326914	5225.416082	3673.934173	3908.951967	2933.224155	4534.283262	3441.980864	1610.14273
hsa-let-7d-3p	202.780855	120.416461	182.323444	227.740809	474.822379	239.331556	114.115266	174.927818	372.480975	204.250556	387.505533	231.773406	388.369521	269.780011	418.747541	338.181294	293.177753	178.330942	362.41701	105.103359	335.82383	390.538707	366.182588	336.31882	173.176259	222.93238	431.282155	294.379483	138.588478	336.217913	233.363246	240.325331	199.730183	424.543947	513.891451	158.695168	189.708253	298.127723	171.389626	206.416386	230.54155	228.382624	376.017877	133.843331	236.184589	145.944145	197.828271	154.403604	179.84497	133.604934	93.515569	328.079342	154.903692	134.721717	86.218848	184.197404	240.369784	134.374037	158.922263	106.526645	161.058131	238.603967	101.593506	176.054301	175.59523	197.446225	169.072572	206.576278	169.328895	224.837072	154.617171	133.35219	129.467802	64.713889	251.937537	93.892954	78.281308	139.611551	138.654985	89.335472	212.609762	180.994765	339.509976	172.015323	155.351303	212.330733
hsa-let-7d-5p	211.97032	145.524041	130.23103	163.475627	137.851659	218.692338	126.884538	119.528992	220.28445	159.319556	240.322423	149.20307	229.851348	181.337278	306.202124	310.284185	285.902602	167.458823	236.921089	90.732659	332.793991	240.520028	213.14145	162.885411	103.10295	141.260612	318.866424	240.85594	126.266559	171.144122	133.00496	188.376556	117.553887	180.762851	323.421592	189.428387	245.654386	280.07891	110.082804	194.208966	135.77154	184.881171	183.423356	96.245259	177.733531	120.277635	119.543287	124.773114	117.488156	122.671197	145.213031	205.014866	179.32834	168.601911	114.047901	165.007146	195.413166	207.037839	124.652771	148.40483	138.54838	197.066266	91.571707	164.499572	121.893776	165.903984	244.330484	155.136334	155.024853	200.889928	171.119234	125.938523	118.678817	141.238678	112.883152	55.347425	117.975185	169.537368	195.827657	188.12443	115.202647	124.289017	105.431093	123.362467	112.109188	117.108271
hsa-let-7e-3p	6.12631	6.870233	3.896676	1.534182	6.564366	8.547556	5.980544	5.118369	14.928368	5.977062	8.911477	8.986094	3.962954	11.277933	3.367943	9.299036	14.007382	6.636226	8.366395	4.367565	6.450634	11.903465	8.156471	7.708151	5.390255	13.49512	13.852176	2.787684	6.359701	8.811768	6.448727	4.149265	5.571275	15.75456	6.60044	4.190893	9.409121	12.569709	9.566559	5.132665	7.85658	7.587461	6.275009	12.484301	8.066775	6.8262	14.961801	11.877199	11.778509	4.66684	4.330678	9.722928	7.327395	6.392489	5.121911	11.339698	14.298526	9.565087	6.813815	4.936212	5.583812	17.280951	3.930117	12.300194	9.376445	8.192789	10.481126	5.388945	10.051487	14.102207	4.842998	8.258264	7.527198	5.536359	7.567585	2.800316	6.085472	13.187648	5.402144	5.672094	10.677318	6.776159	13.930017	4.682072	9.609358	17.086289
hsa-let-7e-5p	1436.619649	1000.181123	1299.644172	730.952534	369.063171	1406.802563	1503.864643	456.438158	1168.417838	1553.004978	792.259088	1765.852233	446.052522	1188.041117	1101.036598	1759.985029	1437.982588	1205.392909	898.43672	1521.6036	1419.921018	1048.90539	709.82756	1340.812673	1245.14877	2002.009897	2801.868871	1021.965141	705.264309	779.939401	888.916475	898.896396	726.215604	1350.746269	961.307038	1282.134025	1643.036207	4349.11949	626.272788	794.730834	913.327547	591.063335	698.45683	1798.320165	1097.87484	1061.3375	1189.538826	811.400309	826.574217	1358.716848	706.577109	516.981926	1178.682115	899.263471	962.919406	1146.763315	1069.040104	930.74461	634.887424	759.062051	1272.760584	609.748075	505.216442	1384.95224	851.892585	523.519244	2403.785852	1178.872848	927.249658	696.861885	1239.089803	602.196342	340.982056	310.774308	883.830939	305.728637	1520.538332	1691.696357	682.020456	667.889002	417.53935	983.25629	741.841587	706.382459	599.898552	942.817568
hsa-let-7f-1-3p	1.225262	2.123526	3.076324	3.068365	2.917496	3.544109	3.879272	3.612967	3.276959	4.740427	6.899208	3.051881	3.522626	2.967877	4.771252	5.123958	2.063103	3.38871	5.894504	1.268003	6.743844	5.601631	4.078236	7.099614	2.179038	3.154704	4.262208	3.345221	2.1199	1.762354	1.612182	1.327764	2.507074	9.535655	9.193471	4.190894	7.374718	6.446004	4.042209	2.635694	2.455182	1.517492	4.82693	2.177494	3.967265	3.140052	2.569198	2.375439	1.979581	2.266751	1.759337	3.611373	3.08522	3.995306	2.731685	3.779899	1.030525	2.622685	2.605283	2.706956	3.31539	3.487899	1.768552	2.112154	2.727693	3.686754	3.178701	1.469711	3.672659	1.596476	3.946145	1.970723	0.75272	1.353332	1.261264	1.317795	1.383062	3.55052	4.501786	2.363372	2.997142	1.06992	2.458238	3.257094	1.372766	1.151885
hsa-let-7f-2-3p	0	0.499654	0.205088	0	0	0.625431	0.484909	1.505404	0.728214	0.412211	1.149868	0.169549	1.320985	0.593575	0.280662	0.569329	0.108584	0.282393	0.570436	0.422667	1.075105	2.275663	1.287864	0.202846	0.229373	0.350522	1.864716	0.418152	0.397482	0.783268	0.201523	0.497912	0.278564	1.658375	2.3573	1.396965	0.762902	0.6446	0.808442	0.554883	0.982072	1.264577	0	0.290332	1.322422	0.955668	1.057905	0.625116	0.791832	0.266676	0.406001	1.944586	1.028407	0.799061	0.512191	1.017665	0.386447	0.925654	0.801625	0.318465	0.697977	4.280603	0.196506	1.1182	0.170481	1.638558	0.859108	0.816507	0.193298	1.330397	0.717481	0.563064	0.75272	0.61515	0.315316	1.153071	0.968143	0.507217	0.450179	0	1.31125	0.17832	1.365688	0.814273	0.686383	0.767923
