miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39
hsa-let-7a-2-3p	15.705066	6.303132	4.511365	0.828213	1.530409	3.533989	27.868159	7.925382	2.913183	1.5014	2.343673	4.833426	2.919747	0.402534	3.54912	1.17608	7.237403	7.672147	7.662077	13.823556	1.581377	2.368347	10.783315	2.815531	1.70137	1.67931	0.349564	4.084303	8.157883	2.221951	0.713049	2.614751	7.098704	1.428726	1.068288	4.831063	1.771893	17.758709	2.407437	0.939006	1.497259	3.12374	1.068368	0.502536	3.279042	1.25326	1.477357	0.608087	1.284857	1.40272	0.577148	1.670817	1.092782	1.18395	0.75253	1.098564	1.40952	0.307336	0.403213	1.129955	1.258132	2.541015	2.204623	2.678726	0.374582	0.406456	0.462726	9.69748	0.462954	0	2.230619	0.886589	0.939079	1.665366	1.230396	2.173303	1.829237	0.426105
hsa-let-7b-3p	29.965987	28.167111	32.809926	17.944588	33.668982	20.541305	12.551308	23.587445	13.10932	15.91485	9.03988	21.481891	17.810459	22.541949	26.026879	18.229254	14.733278	37.508276	15.949634	25.552633	12.475305	19.807987	23.492221	23.607151	9.74421	32.839834	53.133719	44.518904	13.052615	13.966556	20.203066	30.592593	25.032271	13.811014	9.614589	9.093765	13.190762	14.480178	22.26879	41.003291	36.682847	48.41798	37.286029	31.827257	27.666922	29.576948	32.501856	29.796245	22.57677	25.073621	30.396448	23.600293	22.12884	20.653356	21.258982	17.477141	40.312292	30.42629	38.910042	28.700857	26.106232	28.586421	40.785537	34.24942	40.080369	35.768105	16.195414	13.75689	26.619853	23.22933	26.581537	22.386364	25.623431	29.643517	32.341783	25.091777	27.641805	13.422321
hsa-let-7b-5p	15986.13189	24258.97354	13740.59201	14618.48977	22748.60106	20100.88211	12523.44063	14335.88141	8524.334905	10052.47997	6304.47993	16106.0475	10789.63396	12590.08227	25694.14868	10895.80173	13564.69576	8780.517242	9730.293247	11220.11939	8166.580106	14218.69008	11409.51797	18030.23231	9330.467607	25381.27327	40372.88685	46807.34096	9507.606412	24557.3316	14125.98442	24182.79206	8725.427745	44265.0124	9537.404755	10573.20851	12356.201	25393.31442	17827.82103	23223.19985	18809.31673	25664.65393	27436.5323	18103.17593	18763.91159	10067.94301	23850.61623	23425.77771	20714.46114	26976.23529	19723.63859	13468.45789	18413.10552	18564.99953	21046.01724	25912.70877	29848.29328	24210.4147	23483.31979	17431.81569	28202.90833	12569.1315	30155.47321	22959.35647	24715.16716	20776.39143	12053.39797	11654.11482	18639.91534	16983.5454	20112.18524	16893.72572	21942.24264	22681.45246	25148.5481	13243.9144	14755.03264	17994.64556
hsa-let-7c-5p	2246.907457	4097.625239	1025.515253	1262.194729	2318.568568	637.663964	1371.496402	457.407684	992.302645	2049.712588	860.12793	2989.205084	874.464299	1358.152559	678.177647	1472.012286	1325.736478	735.33273	986.531783	615.986022	642.390311	1314.647511	1163.82783	1875.144161	860.274527	2386.858843	1939.730286	1077.30306	459.696788	323.770158	833.317092	907.057343	608.620442	1372.528989	685.840649	336.753535	1493.31248	295.067779	1997.570597	2124.346077	3128.373044	3903.634679	3336.404894	2285.699547	4018.261804	3343.824376	2808.948191	3062.476343	3244.07984	4449.603337	3826.297006	2073.901916	4234.667314	3821.528688	2954.622421	4396.050404	4314.824915	3302.174556	3375.093417	2923.41956	4432.555098	2603.270033	3838.092431	3779.299041	3112.034749	3013.66606	2031.0591	1242.856003	2973.784769	2224.69249	2899.060429	2897.593464	3325.813994	2929.378822	3802.620215	4395.407689	2554.631182	3729.913921
hsa-let-7d-3p	549.677288	528.281061	207.522782	261.990988	365.155419	314.304059	149.552035	160.017211	139.832741	181.369236	245.750835	259.930878	191.243447	303.51127	275.056787	188.319956	214.278719	326.15152	318.054469	271.025471	182.736852	381.734365	346.221447	329.200636	232.314337	370.194492	519.801574	262.620698	389.946875	469.466729	281.654522	502.29379	451.328111	208.832049	210.986805	214.27187	206.917787	498.883114	261.056416	502.368565	405.158297	665.877399	200.853095	299.343723	383.443048	232.479824	305.156305	351.930144	393.533279	310.17647	335.130446	405.590888	153.262693	157.860048	163.110962	125.136332	407.915304	285.361727	343.537374	332.43276	259.489652	504.603261	448.955875	458.062066	372.897278	355.039086	165.038975	245.368779	422.676968	411.352754	281.429695	251.347891	257.978311	260.962855	265.940852	381.711135	365.440916	103.969725
hsa-let-7d-5p	309.227322	320.277778	126.318215	196.562259	285.88027	197.682456	140.404471	137.184565	108.151887	136.327206	171.088116	159.503039	186.863822	179.530537	118.303995	175.971109	143.197117	202.374204	254.646853	136.559976	217.878554	164.061808	179.850296	286.751082	145.080457	239.581518	332.784867	149.893931	185.183974	514.540615	280.22842	257.29156	273.113286	437.904376	153.299273	179.033525	131.120119	318.563917	151.066654	334.599373	243.903499	272.286067	456.299766	272.374313	209.448848	206.28668	310.409132	241.866462	241.002424	254.243009	216.622779	207.807895	282.757375	191.668409	186.815668	250.871884	270.346078	281.981027	291.926126	265.991406	242.033075	249.231236	305.182912	292.36376	243.1043	303.012752	162.725345	164.406101	235.875044	213.903433	218.786491	310.970981	206.060677	237.31466	231.314053	208.43957	290.238948	203.358817
hsa-let-7e-3p	31.771167	6.697075	12.09866	14.355672	15.610166	12.589832	5.531085	7.170584	9.103694	5.405043	12.053175	12.352087	7.299368	14.289985	10.94312	9.114626	7.754357	10.570514	7.896631	10.053496	2.987046	13.34886	18.485683	11.695284	8.04284	14.367428	11.885174	16.33721	13.460509	10.474918	3.327563	13.335233	11.955712	7.38175	8.546302	11.367208	6.693819	7.103485	13.541832	14.711103	15.272043	28.634289	10.25633	14.573533	12.70629	15.791083	11.490556	10.641516	19.456403	11.04642	10.965808	15.872764	8.878856	8.550752	6.584643	8.08942	13.249493	10.6031	10.281928	6.327748	13.996713	11.222817	15.904784	14.158978	12.923109	10.161395	13.573298	7.442252	12.731235	11.130721	9.108359	9.974121	14.354487	12.490245	8.261217	18.176721	14.2274	6.39158
hsa-let-7e-5p	3974.28413	1119.396445	1099.132524	735.452047	3325.577224	1882.290368	2787.028755	1955.870726	2890.240769	1998.364673	1876.277509	1995.130595	1966.449768	1103.348002	1732.266231	1579.035651	1139.373445	718.283511	2602.683197	1276.793874	2056.140978	2739.530777	2945.00047	2491.312459	2858.920237	3517.967216	2122.552224	2353.64784	2039.879	2383.837138	2502.565789	2098.076718	2733.00094	2314.059112	5061.012578	4958.091945	1138.540022	1324.799681	3281.787606	2380.225396	1675.432869	1618.097703	2238.016255	1359.693896	3382.947296	2252.610448	3610.332307	3383.394067	3429.83342	3283.592297	3390.742858	1522.323371	2621.311109	2480.507571	2040.109869	2545.071299	2175.454323	3622.726288	2929.341577	4479.367588	4751.019672	2684.582516	3574.482423	3276.081317	2504.086699	3026.062959	1526.841892	2165.018622	2152.967396	1703.000406	2154.591525	2401.103801	3207.087629	3649.81616	2909.881558	3304.60687	2309.716664	4121.291764
hsa-let-7f-1-3p	2.888288	1.575782	2.460744	1.656424	5.50947	1.54612	1.489138	2.075696	1.456592	2.101962	3.013293	2.685237	2.335797	2.817744	2.66184	2.058141	3.101742	4.262305	2.423719	2.094478	2.108504	2.368346	3.080947	4.115007	2.01071	4.291569	6.641715	2.178294	2.447365	0.634844	2.376831	3.660652	4.857008	0.952484	4.540223	2.841802	1.771893	4.098164	3.310226	2.81702	2.844793	1.56187	2.777756	4.522821	3.483982	2.882499	2.298111	3.800542	3.67102	2.98078	1.53906	1.879669	2.595358	2.367901	1.693193	1.69778	2.537137	2.919694	4.636948	3.841847	1.415398	3.17627	3.621882	4.018089	2.247498	3.251646	1.850904	2.029706	3.472155	2.419722	2.788274	3.768002	2.280619	2.99766	1.933477	4.741753	3.251978	1.704421
hsa-let-7f-2-3p	0.90259	0.393946	0.410124	0	0.918245	0.662623	0.212734	0.566099	1.092444	0.60056	0.33481	0.537047	0.291975	0.805069	0	0.58804	1.292393	0.852461	1.329136	0.418896	0.351418	1.291825	1.540474	0.433159	0.15467	1.30613	1.048692	1.633721	1.223682	1.269687	0.713049	0.784425	1.86808	1.666847	0.534144	0.56836	0.787508	0.819633	0.451395	2.81702	1.49726	0	1.068367	0	1.0247	0.375978	1.149056	0.760108	0.183551	1.05204	1.539061	1.04426	0	0.2631	0	0.599216	0.845712	0.307336	0.403212	0.225991	0.786332	0.847005	0.157473	0.76535	0.561874	0.609684	0.308484	1.353137	0.462954	1.451833	1.301195	0.886589	0.804924	0.166537	0.527312	0.790292	1.422741	0.106526
