miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50
hsa-let-7a-2-3p	3.334058	5.617277	15.673471	6.500576	19.948379	10.500721	11.111651	6.58385	18.349896	6.28147	11.372729	14.91537	10.496781	15.509672	5.296921	7.337547	4.067105	43.045348	11.242706	5.818374	8.605849	13.939972	2.830209	7.900006	10.80711	8.248577	18.497804	4.41234	7.800653	14.039471	4.706502	7.747819	15.21558	6.154519	4.209015	6.948572	8.355802	15.233183	9.722221	15.090891	7.197462	4.03216	3.98743	4.389901	1.856468	1.614186	6.766244	9.70286	16.78875	10.132273	5.6741	3.546002	14.953804	43.702557	36.983651	14.2622	20.683071	18.669449	26.365341	23.231485	8.461152	20.902778	61.000828	8.177752	22.331925	12.501198	21.096987	17.419195	20.2678	20.5351	37.791646	13.235642	37.753684	16.012821	15.540781	25.134346	21.007041	7.472604	19.669139	16.112322	20.386473	28.883198	18.85355	21.822187	13.979434	21.257153	21.343575	24.087981	23.939862	16.273096	13.717133	4.173269	7.541414	5.54796	4.990188	6.625777	2.154134	19.555569	25.6658	18.458342
hsa-let-7b-3p	25.48173	33.703669	15.67347	17.064011	24.296103	12.933813	14.66738	26.335399	30.415582	21.699621	28.338604	19.650409	20.993561	27.189798	37.343297	18.010343	22.172278	22.398329	16.266043	30.754263	27.803509	25.12099	24.622818	21.778394	15.651677	21.101019	16.796856	29.78329	24.156859	21.059207	27.342537	22.136625	26.013733	25.161122	17.969257	24.123344	28.362649	20.589907	16.033137	35.636319	26.755779	17.778155	54.115113	17.053075	22.940638	19.139639	12.720539	24.25715	13.9432	29.821121	33.082897	30.871078	35.12957	39.115699	43.255734	47.329373	35.820682	36.369057	35.035822	60.434348	49.934669	12.084419	191.973189	37.445495	66.99578	38.396532	43.498942	35.821735	36.705464	75.932116	63.033612	30.515508	35.694392	62.540644	37.325626	40.994524	48.385068	31.09137	43.272106	37.15699	40.342247	47.386498	39.913363	57.111783	45.255452	58.14456	58.595404	49.365489	51.575138	34.25915	51.142892	28.082636	33.32818	39.582552	34.501121	39.38657	30.636579	26.287812	58.056865	33.397391
hsa-let-7b-5p	5034.189575	15545.68985	6239.346941	16228.27962	8107.993367	5685.883284	1884.313923	7402.855306	13347.91605	4512.379065	23051.59043	5720.872831	12086.95799	10020.39809	21216.81942	5114.103866	11040.35079	12323.87412	6253.097726	6416.419785	9806.915659	9203.4308	5669.757635	7160.607756	5567.897811	6762.877087	7727.191833	13383.2869	10624.23716	12237.48562	12233.99296	10750.17698	2588.611729	6607.238147	2173.956329	9223.771039	10748.50331	12924.09975	6379.311932	17789.43191	12025.54848	11561.11635	4737.635695	11046.679	13121.11609	3386.563051	1558.942649	8483.85703	4095.885958	7618.31818	8247.835522	4212.442253	12721.4142	13123.38099	7844.967988	10952.73497	12773.8952	11971.23935	21051.04277	18013.00963	14487.29579	9481.532723	38706.81837	10574.90885	27149.73844	13451.58473	22250.14371	14085.66845	14980.61712	39222.20045	30154.02449	9123.21776	14206.19621	9590.774192	11440.09619	18584.49805	15299.15144	15604.39821	11173.38215	16537.1625	19618.10393	17320.74327	18217.9426	22168.47452	14971.85395	15544.91691	19997.20545	21709.96109	17821.54006	18276.68488	19649.70845	13059.38243	11697.58302	13288.21421	10903.38645	14091.3739	14976.97948	13045.16551	15216.93778	12477.12189
hsa-let-7c-5p	5517.627998	5607.830994	3585.959184	9993.144604	6839.99251	5593.937964	3072.593975	3610.80656	3025.973396	3317.948178	6480.032096	1309.47474	7870.585045	10765.24539	6960.41981	2655.191627	9339.12052	5339.651072	4860.676551	3358.44862	3417.404379	6565.291125	3685.215103	5904.079842	5011.145294	4200.062226	5201.710043	6168.450319	9501.446455	8149.722987	5262.766275	5478.023789	1417.012148	4904.78959	650.616611	3310.14258	2905.112217	8789.713618	7471.611968	5834.719849	5051.678553	9122.759815	3573.875958	3407.576122	8899.375872	2432.117695	1427.406862	6281.307894	3614.418746	6262.896337	4997.537055	2334.729693	7154.326811	7983.042899	5084.603348	6929.844034	5447.291661	6754.461574	6833.04671	8315.733726	7971.515044	4377.335641	11309.37377	7154.671842	9456.51483	7955.225481	8329.177365	9348.911152	10080.11846	10904.77492	10415.94768	6195.93493	8791.116767	6199.983535	7903.874721	9734.385051	7558.229536	10300.7176	8560.15493	8169.276721	7394.11632	7492.031168	7246.982881	10809.71414	7138.277444	8321.39312	6446.422197	9364.871337	8048.935004	3289.734762	9774.219376	8910.455424	8568.261526	8862.543678	7924.330871	8406.640206	10073.4512	8340.448948	8183.273037	7871.082903
hsa-let-7d-3p	824.464937	582.537285	605.061225	835.053052	1111.482798	377.51366	1182.946458	497.763851	469.053526	860.180589	581.500708	489.129419	444.863502	847.862161	687.010729	609.683493	537.64492	449.072674	328.310955	501.626963	522.970774	334.559324	771.231945	692.424814	578.180406	982.348419	528.356814	528.37763	361.220541	649.799824	578.451569	810.991022	709.733135	626.312815	378.811363	254.34397	502.289607	542.870445	811.208458	608.544681	397.268536	712.042629	2353.152945	648.861116	527.369442	547.670383	632.508501	990.01511	1314.075403	761.071897	452.389382	1000.389851	503.444717	721.66555	517.014156	743.747268	411.86291	431.094574	725.843114	660.55392	1074.0115	333.138023	2609.579463	358.099439	690.177256	396.615332	418.133576	365.943614	509.886776	870.751921	857.228587	404.422395	420.610355	566.491355	359.658075	610.213577	347.477099	240.32428	575.795827	347.237006	493.725919	559.762423	534.919278	436.069655	487.029221	434.208569	681.668681	469.120842	494.864255	481.055547	839.285325	413.501609	436.428868	450.664942	596.413382	675.829379	448.778029	457.632307	746.778735	707.378301
hsa-let-7d-5p	407.231381	486.02223	294.857146	436.486542	603.822106	520.81006	351.572664	254.782549	336.833721	372.51016	488.468051	374.304752	377.217594	623.833541	399.652734	371.546723	385.981297	277.582585	249.372799	352.011629	321.064337	361.568018	425.380409	537.627406	518.368635	433.146402	508.795917	605.152334	507.671502	508.266783	436.808257	545.984015	243.940092	636.811699	184.387239	178.82741	350.943672	334.795218	697.611984	494.726644	435.759303	295.813851	974.64166	569.336374	477.112207	386.021145	253.328182	699.899609	462.402019	551.28778	374.58687	367.11554	443.15478	353.57025	1183.260592	512.699644	407.066835	366.84257	479.353731	442.210468	855.408618	369.554582	578.610779	397.696974	546.377752	417.897131	342.771659	370.719845	515.63198	488.385172	553.184111	531.447791	488.395377	570.721155	434.586842	414.918353	560.819082	291.431552	683.611849	356.772869	638.584731	533.737457	528.90219	556.154035	389.884012	374.188381	464.12331	417.227601	488.758788	472.776253	486.196161	510.704047	407.236302	530.576885	581.270746	554.172729	559.835635	418.841758	767.503526	528.468835
hsa-let-7e-3p	32.626139	17.873156	19.265305	31.554877	45.267474	45.460434	54.89156	18.881983	12.065684	39.211598	19.948885	11.12734	22.992946	34.848895	35.224528	21.34559	34.767182	21.660934	15.668027	32.001057	14.122418	29.186816	23.490736	59.356801	20.309913	20.717365	30.191817	24.04725	26.673199	34.908953	38.772616	23.559693	29.940335	73.311182	16.674174	22.550083	25.067404	55.40861	65.497066	30.545416	28.789846	49.668869	54.684745	12.325489	38.455405	16.141863	34.64317	33.313152	33.008389	46.9769	20.388297	31.914021	22.074662	37.204511	34.280168	50.710044	16.486507	26.670639	20.702985	45.813136	41.75093	13.717448	87.015884	24.102848	41.646027	23.811804	23.924415	25.707362	25.055469	45.049871	37.078596	26.103626	25.56954	40.787376	24.698741	25.403164	22.901119	13.744253	45.166171	17.427614	31.584678	27.830166	25.472348	35.788386	24.404775	30.166398	28.634857	21.560228	32.776722	16.273096	36.240326	22.779103	15.447734	23.898902	26.069426	20.613531	16.515031	29.17306	42.410333	31.745475
hsa-let-7e-5p	2861.09814	1391.553017	5171.265306	2392.888805	1928.854871	1435.39708	1206.503162	3719.00529	1149.759287	3523.523533	3063.552304	1328.17814	5770.396118	7211.040895	3366.723361	4913.15512	6595.662028	1946.488548	4791.306661	3513.258931	4432.011814	7234.554983	5243.245139	5790.063543	5764.848083	2485.316564	7669.147	6310.74826	4121.764161	9053.751064	2314.478636	2500.647892	1431.736901	2999.241909	1798.706441	2290.669011	1334.927604	2193.57826	2964.424517	1845.270379	2368.277475	4486.326765	2771.263397	2545.298285	3168.725204	2054.859276	3195.020479	3258.867119	2733.436189	2445.792624	1137.416929	1510.179843	3883.953739	1687.19901	875.063491	1128.509706	972.404137	2595.296026	1037.272628	2585.355393	2589.528698	721.309141	4331.058661	3063.859202	2155.483627	3849.92195	1175.015162	4229.071993	4504.558419	1691.200807	2401.409445	2645.106295	5105.499236	3421.003533	3448.804574	1902.011527	2721.961328	4371.873601	4937.536643	2717.392643	1458.063517	1254.463544	1444.703248	1435.899939	1658.221353	1530.04597	1565.637325	1866.521066	1541.791366	765.406483	2129.373225	1974.391937	1870.027155	1852.164621	1914.252929	2487.427584	2254.660828	1808.889866	2199.023876	2034.152533
hsa-let-7f-1-3p	1.667029	4.72362	5.551021	2.573145	9.718439	1.920864	2.889029	3.354037	6.032843	5.52008	4.847393	4.024782	4.49862	10.148304	6.885998	4.83611	5.772665	4.193924	2.99008	4.36378	6.399221	3.775409	5.094376	8.540547	4.285577	6.330306	4.890224	3.750489	4.15196	3.60473	3.810026	8.064056	3.435777	5.611472	3.237704	2.359892	5.060555	3.347953	9.039959	5.999993	6.102196	3.482319	9.683757	5.065269	3.580332	4.150765	3.518448	7.115431	3.130106	4.950996	5.385586	3.337414	3.323068	4.969097	12.436022	6.761339	7.493865	1.697222	6.724047	10.072392	9.293397	2.939453	7.176568	5.595304	8.299026	6.399422	5.111124	6.602437	6.22397	5.412353	7.558329	6.433992	5.14823	10.12131	6.799092	5.779555	7.059743	3.069105	8.013352	7.069691	5.886237	6.769498	6.418229	6.359608	9.596053	6.252105	6.49587	6.245032	7.230159	8.279295	5.080419	5.216588	4.135614	4.374353	5.850565	4.601234	4.547617	4.969038	10.70552	6.966766
hsa-let-7f-2-3p	0.952588	2.936304	1.306123	2.03143	1.022993	1.536691	0.666699	0.372671	2.513685	1.903476	0.932191	1.657264	2.665849	3.063639	1.32423	3.001724	2.492741	2.073919	0.956827	1.454593	1.985965	1.45208	1.981147	5.124328	2.794942	2.493757	2.338802	2.426787	1.761438	2.656116	0.896476	0.790594	2.944951	1.629138	1.456967	1.048841	1.059185	1.339181	1.193957	1.454544	1.251733	0.73312	3.987429	1.857266	1.060839	0.461196	1.0826	2.264001	0.56911	1.957371	1.731082	2.085884	0.949448	1.40154	4.75813	1.690335	1.049141	0.969841	5.662354	3.736532	0.970951	1.306424	0	1.936836	2.565154	2.083533	2.066199	1.966683	1.276712	1.273494	2.42437	1.838283	1.372862	4.078737	3.330168	4.301065	2.238456	0.266878	1.311275	1.15088	3.445601	2.557367	2.607406	1.745775	2.606335	2.188236	2.121101	2.37906	1.446032	3.140422	1.524126	1.651919	2.067807	0.960224	2.236981	2.392642	0.957393	1.763207	2.607755	2.011026
